What do you usually like to do when listening to music?,Relax and unwind,Work or study,Exercise or move your body,Write or create
What emotion do you seek most in music?,Happiness,Motivation,Relaxation,Nostalgia
How do you usually discover new music?,Friends and family,Social media/ music streaming platforms,Radios or podcasts,Music blogs or websites
Which of these instruments do you enjoy the most?,Drums,Acoustic guitar,Piano,Electric guitar
If you could perform or attend a concert at any of these venues?,Sunset festival stage,Stage in Nashville,Intimate jazz club,Rock stage
What's your favorite time to listen to music?,Working out,Hanging out with friends,When thinking or reflecting,Relaxing at home
